epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3444,1.56846,4.91969,1.08161,0,0,0,0,1.81001,4.51209,0.95788,9.09e-06,9.09e-06,9.09e-06
2,23.676,1.54033,4.86166,1.02944,0,0,0,0,1.65766,4.48105,0.93672,2.7e-05,2.7e-05,2.7e-05
3,32.2949,1.36211,4.67733,0.98941,0.0023,0.1,0.0053,0.0044,1.50015,4.44341,0.90505,4.45501e-05,4.45501e-05,4.45501e-05
4,40.7683,1.18416,4.65968,0.97058,0.00348,0.2,0.06016,0.04418,1.3443,4.41712,0.87466,6.17402e-05,6.17402e-05,6.17402e-05
5,49.0145,1.13247,4.48392,0.9395,0.00281,0.2,0.179,0.13674,1.28506,4.42461,0.86635,7.85703e-05,7.85703e-05,7.85703e-05
6,58.4625,1.1325,4.28227,0.87921,0.00255,0.2,0.199,0.17239,1.27096,4.43627,0.86935,9.50405e-05,9.50405e-05,9.50405e-05
7,67.2867,1.17107,3.98067,0.90854,0.00252,0.2,0.199,0.15545,1.22417,4.39784,0.85389,0.000111151,0.000111151,0.000111151
8,75.7906,1.11473,3.63164,0.89298,0.00522,0.46667,0.20632,0.13535,1.12024,4.29553,0.81816,0.000126901,0.000126901,0.000126901
9,84.1067,1.13987,3.26095,0.89236,0.00699,0.53333,0.21835,0.14078,1.07259,4.27725,0.79446,0.000142291,0.000142291,0.000142291
10,92.77,1.23099,2.88305,0.88606,0.00738,0.53333,0.2187,0.13752,1.05134,4.2308,0.79152,0.000157322,0.000157322,0.000157322
11,101.941,1.19672,2.5888,0.8803,0.00804,0.53333,0.22203,0.14314,1.00554,4.21547,0.78948,0.000171992,0.000171992,0.000171992
12,110.679,1.26388,2.48634,0.88926,0.00847,0.53333,0.21942,0.12651,1.01212,4.15041,0.79553,0.000186302,0.000186302,0.000186302
13,118.964,1.22246,2.24407,0.93664,0.00682,0.46667,0.21391,0.13556,0.99579,4.10783,0.79869,0.000200253,0.000200253,0.000200253
14,127.097,1.20064,2.23435,0.92745,0.00754,0.46667,0.21348,0.15855,0.95383,4.06943,0.80447,0.000213843,0.000213843,0.000213843
15,135.374,1.06454,2.36457,0.88393,0.00443,0.4,0.21144,0.16194,0.93211,4.11593,0.81529,0.000227074,0.000227074,0.000227074
16,144.806,1.1231,1.79895,0.89586,0.00434,0.4,0.21709,0.15064,0.9245,4.12054,0.825,0.000239944,0.000239944,0.000239944
17,153.663,1.07668,1.68658,0.88152,0.0044,0.4,0.22111,0.16841,0.93202,4.11565,0.83507,0.000252455,0.000252455,0.000252455
18,162.569,1.14884,1.96834,0.91653,0.00438,0.4,0.22387,0.16502,0.93247,4.10767,0.83657,0.000264605,0.000264605,0.000264605
19,170.727,0.97324,1.69224,0.87374,0.00453,0.4,0.22111,0.18519,0.95648,4.1156,0.83557,0.000276396,0.000276396,0.000276396
20,179.031,1.15309,1.6706,0.94031,0.00444,0.4,0.22111,0.1751,0.95475,4.09143,0.83422,0.000287827,0.000287827,0.000287827
21,187.935,1.18087,1.6666,0.93602,0.00365,0.2,0.199,0.16667,0.96925,4.09236,0.84462,0.000298897,0.000298897,0.000298897
22,197.083,1.14644,1.64571,0.94809,0.00357,0.2,0.199,0.16667,0.98628,4.08369,0.85071,0.000309608,0.000309608,0.000309608
23,204.968,1.18742,1.50748,0.91412,0.00342,0.2,0.199,0.16417,1.0517,4.02897,0.8559,0.000319959,0.000319959,0.000319959
24,213.503,1.07562,1.44592,0.92486,0.00348,0.2,0.199,0.16172,1.08719,4.01859,0.85749,0.00032995,0.00032995,0.00032995
25,221.944,1.04401,1.34667,0.90198,0.00349,0.2,0.199,0.16584,1.07087,4.01525,0.84419,0.000339581,0.000339581,0.000339581
26,231.465,1.11931,1.47788,0.93143,0.00339,0.2,0.199,0.16419,1.03517,4.00974,0.84403,0.000348851,0.000348851,0.000348851
27,240.264,1.08461,1.2996,0.88229,0.00394,0.4,0.22111,0.17704,1.00415,4.00909,0.83188,0.000357762,0.000357762,0.000357762
28,248.739,1.14192,1.41373,0.90669,0.00394,0.4,0.22111,0.17704,1.00415,4.00909,0.83188,0.000366313,0.000366313,0.000366313
29,257.036,1.04957,1.33658,0.89133,0.00763,0.46667,0.2073,0.17237,0.95856,4.00834,0.82214,0.000374504,0.000374504,0.000374504
30,264.792,0.99778,1.30038,0.90699,0.00377,0.4,0.20169,0.16692,0.9614,4.00128,0.81903,0.000382335,0.000382335,0.000382335
31,273.755,1.05888,1.27984,0.92667,0.00377,0.4,0.20169,0.16692,0.9614,4.00128,0.81903,0.000389806,0.000389806,0.000389806
32,282.777,1.01082,1.2275,0.88008,0.00379,0.4,0.20637,0.15961,0.93859,3.95686,0.82845,0.000396918,0.000396918,0.000396918
33,291.162,1.00667,1.29003,0.89486,0.00376,0.4,0.20398,0.15947,0.95257,3.89916,0.84095,0.000403669,0.000403669,0.000403669
34,299.831,0.91516,1.17695,0.85271,0.00376,0.4,0.20398,0.15947,0.95257,3.89916,0.84095,0.00041006,0.00041006,0.00041006
35,308.776,0.85883,1.10753,0.86631,0.00375,0.4,0.20188,0.15857,0.94374,3.78762,0.84937,0.000416091,0.000416091,0.000416091
36,316.428,1.01224,1.23564,0.89483,0.00386,0.4,0.20169,0.16127,0.92043,3.68642,0.85668,0.000421762,0.000421762,0.000421762
37,325.05,0.88104,1.11593,0.88226,0.00386,0.4,0.20169,0.16127,0.92043,3.68642,0.85668,0.000427074,0.000427074,0.000427074
38,332.786,0.93004,1.13584,0.91085,0.00383,0.4,0.20193,0.14482,0.93836,3.61428,0.86483,0.000432025,0.000432025,0.000432025
39,342.616,0.97386,1.24082,0.90937,0.01004,0.53333,0.20652,0.13777,0.94845,3.56035,0.86654,0.000436616,0.000436616,0.000436616
40,352.625,0.96674,1.13321,0.9071,0.01004,0.53333,0.20652,0.13777,0.94845,3.56035,0.86654,0.000440848,0.000440848,0.000440848
41,362.845,1.03274,1.11976,0.92148,0.01145,0.6,0.21811,0.14962,1.01493,3.48639,0.88093,0.000444719,0.000444719,0.000444719
42,371.879,1.00254,1.11503,0.95221,0.01261,0.66667,0.219,0.14015,1.04052,3.43214,0.88109,0.000448231,0.000448231,0.000448231
43,381.449,0.91452,1.08811,0.88431,0.01261,0.66667,0.219,0.14015,1.04052,3.43214,0.88109,0.000451382,0.000451382,0.000451382
44,388.962,0.94445,1.05374,0.89895,0.78691,0.2,0.21659,0.14424,1.03319,3.34311,0.89503,0.000454174,0.000454174,0.000454174
45,396.717,0.81574,1.02205,0.88068,0.78691,0.2,0.21659,0.14424,1.03319,3.34311,0.89503,0.000456605,0.000456605,0.000456605
46,404.563,0.91533,1.01344,0.87151,0.78543,0.2,0.23675,0.13815,1.0021,3.3071,0.8985,0.000458677,0.000458677,0.000458677
47,412.187,0.86582,1.03281,0.91126,0.78543,0.2,0.23675,0.13815,1.0021,3.3071,0.8985,0.000460389,0.000460389,0.000460389
48,419.753,0.91076,1.05404,0.89518,0.5961,0.23609,0.26057,0.15482,0.98676,3.33974,0.88499,0.00046174,0.00046174,0.00046174
49,427.345,0.99364,1.02213,0.91744,0.5961,0.23609,0.26057,0.15482,0.98676,3.33974,0.88499,0.000462732,0.000462732,0.000462732
50,434.757,0.86222,0.98691,0.87654,0.40442,0.27575,0.26089,0.1711,1.0003,3.35128,0.89412,0.000463364,0.000463364,0.000463364
